lhs.Class,lhs.Sex,lhs.Survived,lhs.Age,rhs.Age,rhs.Sex,rhs.Survived
NULL,NULL,NULL,NULL,Adult,NULL,Yes
2nd,NULL,NULL,NULL,Adult,NULL,NULL
1st,NULL,NULL,NULL,Adult,NULL,NULL
NULL,Female,NULL,NULL,Adult,NULL,NULL
3rd,NULL,NULL,NULL,Adult,NULL,NULL
NULL,NULL,Yes,NULL,Adult,NULL,NULL
Crew,NULL,NULL,NULL,NULL,Male,NULL
Crew,NULL,NULL,NULL,Adult,NULL,Yes
NULL,NULL,No,NULL,NULL,Male,Yes
NULL,NULL,No,NULL,Adult,NULL,NULL
NULL,Male,NULL,NULL,Adult,NULL,Yes
NULL,Female,Yes,NULL,Adult,NULL,No
3rd,NULL,NULL,NULL,Adult,NULL,No
3rd,NULL,No,NULL,Adult,NULL,NULL
3rd,Male,NULL,NULL,Adult,NULL,No
NULL,Male,Yes,NULL,Adult,NULL,No
Crew,NULL,No,NULL,NULL,Male,NULL
Crew,NULL,No,NULL,Adult,NULL,NULL
Crew,Male,NULL,NULL,Adult,NULL,NULL
Crew,NULL,NULL,Adult,NULL,Male,NULL
NULL,Male,No,NULL,Adult,NULL,NULL
NULL,NULL,No,Adult,NULL,Male,NULL
3rd,Male,No,NULL,NULL,Male,NULL
3rd,NULL,No,Adult,NULL,Male,NULL
3rd,Male,NULL,Adult,NULL,NULL,No
Crew,Male,No,NULL,Adult,NULL,NULL
Crew,NULL,No,Adult,NULL,Male,NULL
